"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Seven & I Holdings","$5500","$1000","$4500"
"ABB Group (ABB Group)","Switzerland/Asea Brown Boveri","$10500","$4000","$6500"
"Accenture (Accenture)","Ireland/Accenture plc","$177000","$80500","$96500"
"Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$89000","$9000","$80000"
"Air Liquide America","France/L'Air Liquide SA","$49512","$7000","$42512"
"Airbus Group","Netherlands/Airbus Group","$191500","$65500","$126000"
"Alkermes Inc","Ireland/Alkermes Plc","$165000","$65500","$99500"
"Allergan Inc (Allergan PLC)","Ireland/Allergan PLC","$157500","$26000","$131500"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$89750","$29950","$59800"
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2000","$0","$2000"
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$495000","$241000","$254000"
"AON Corp (AON plc)","UK/AON PLC","$112200","$39500","$72700"
"APL Ltd (CMA CGM)","France/CMA CGM SA","$7500","$2000","$5500"
"APL Maritime (CMA CGM)","France/CMA CGM SA","$12500","$6000","$5500"
"Aptiv PLC","Ireland/Aptiv PLC","$5000","$2000","$3000"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$250","$250","$0"
"ArcelorMittal USA","Luxembourg/ArcelorMittal","$54500","$25500","$29000"
"Arch Capital Group (US)","UK/Arch Capital Group","$11500","$4000","$7500"
"Arkema Inc","France/Arkema","$58500","$26000","$32500"
"Ash Grove (CRH Plc)","Ireland/CRH PLC","$44500","$0","$44500"
"Ashta Chemicals","Mexico/Bigshire Mexico","$0","$0","$0"
"Ashton Woods Corp","Canada/Great Gulf Group","$2500","$0","$2500"
"Assured Guaranty Municipal Corp (Assured Guaranty US Holdings)","UK/Assured Guaranty Ltd","$2700","$0","$2700"
"Astellas US","Japan/Astellas Pharma","$185700","$75000","$110700"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$358500","$136500","$222000"
"Atkins North America","UK/SNC-Lavalin","$9000","$0","$9000"
"Austal USA (Austal Ltd)","Australia/Austal Ltd","$45600","$11100","$34500"
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$109500","$65000","$41000"
"AXA Equitable Life Insurance (AXA)","France/AXA","$119500","$38500","$81000"
"Bacardi USA","UK/Bacardi Ltd","$46000","$20500","$24500"
"BAE Systems (BAE Systems)","UK/BAE Systems","$611500","$229000","$378500"
"Barclays Group US","UK/Barclays plc","$208238","$80500","$124738"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$63000","$31000","$32000"
