"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Seven & I Holdings","$0","$0","$0"
"ABB Group","Switzerland/Asea Brown Boveri","$12000","$4000","$7000"
"Accenture (Accenture)","Ireland/Accenture plc","$435000","$195500","$238500"
"ACE INA","Switzerland/ACE Ltd","$213000","$91000","$120000"
"ADT Security Services (Tyco International)","Ireland/Tyco International","$20000","$10000","$10000"
"Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$78000","$3000","$75000"
"Advanced BioHealing (Shire Plc)","UK/Shire Plc","$6500","$4000","$2500"
"Air Liquide America","France/L'Air Liquide SA","$43500","$18500","$25000"
"Airbus Group","Netherlands/Airbus Group","$201700","$41500","$159200"
"Alcatel-Lucent USA (Alcatel-Lucent)","France/Alcatel-Lucent","$3000","$0","$3000"
"Alkermes Inc","Ireland/Alkermes Plc","$58600","$30900","$27700"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$85900","$22400","$62300"
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0"
"Anheuser-Busch","Belgium/Anheuser-Busch InBev","$565898","$245731","$317667"
"AON Corp (AON plc)","UK/AON PLC","$133500","$68000","$65500"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$32750","$20250","$12500"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$11100","$4600","$6500"
"ArcelorMittal USA","Luxembourg/ArcelorMittal","$81500","$32000","$49500"
"Arch Capital Group (US)","UK/Arch Capital Group","$5600","$5600","$0"
"AREVA Inc","France/Areva Group","$197550","$97600","$99950"
"Arkema Inc","France/Arkema","$52000","$22000","$30000"
"Ashta Chemicals","Mexico/Bigshire Mexico","$1000","$1000","$0"
"Ashton Woods Corp","Canada/Great Gulf Group","$2000","$0","$2000"
"Astellas US","Japan/Astellas Pharma","$143600","$68100","$75500"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$626548","$275548","$347500"
"Atkins North America","UK/WS Atkins PLC","$2000","$1500","$500"
"Austal USA (Austal Ltd)","Australia/Austal Ltd","$6000","$0","$6000"
"Aviva USA","UK/Aviva PLC","$0","$0","$0"
"AXA Equitable Life Insurance (AXA)","France/AXA","$178000","$79500","$96500"
"Bacardi USA","UK/Bacardi Ltd","$12000","$4500","$7500"
"BAE Systems (BAE Systems)","UK/BAE Systems","$843499","$319999","$517500"
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$19500","$2000","$17500"
"Barclays Group US","UK/Barclays plc","$118000","$55000","$63000"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$86000","$41500","$44500"
"BASF Corp","Germany/BASF SE","$388500","$134000","$253500"
"Bayer Corp","Germany/Bayer AG","$307500","$87500","$217000"
"BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$329975","$69500","$260475"
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$60349","$31500","$28849"
"BioFire Diagnostics (Institut Merieux)","France/Institut Merieux","$2500","$2500","$0"
"BlackBerry","Canada/BlackBerry","$9000","$3000","$6000"
"BMO Harris Bank (Bank of Montreal)","Canada/Bank of Montreal","$17900","$10300","$7600"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$210600","$112600","$98000"
"Bombardier Aerospace (Bombardier Inc)","Canada/Bombardier Inc","$14000","$5500","$8500"
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$2000","$2000","$0"
"BP","UK/BP PLC","$463000","$138000","$325000"
"Bridgestone Americas","Japan/Bridgestone Corp","$25500","$3000","$22500"
"Bumble Bee Foods","UK/Lion Capital","$22500","$7500","$15000"
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$3000","$0","$3000"
"CalPortland Co","Japan/Taiheiyo Cement Co","$52500","$6500","$46000"
"Carmeuse Lime","Netherlands/LVI Holding","$9500","$3000","$6500"
"Case New Holland","Netherlands/CNH Industrial","$70000","$5000","$65000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$269450","$66350","$203100"
"CGI Technologies & Solutions","Canada/CGI Group","$34000","$12000","$22000"
"Chicago Bridge & Iron","Netherlands/Chicago Bridge & Iron NV","$161000","$57500","$103500"
"Citizens Financial Group","UK/Royal Bank of Scotland Group","$109000","$55000","$54000"
"Cobham Management Services","UK/Cobham PLC","$152000","$72500","$79500"
"Commonwealth-Altadis","UK/Imperial Tobacco Group","$65000","$4000","$61000"
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$9500","$6000","$3500"
"Cooper Industries (Eaton Corp)","Ireland/Eaton Plc","$0","$0","$0"
"Covidien US","UK/Covidien Ltd","$192500","$60500","$131500"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$419250","$206000","$213250"
"CSL Behring","Australia/CSL Ltd","$49600","$12000","$37600"
"Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$207500","$65500","$140000"
"Delphi Automotive","UK/Delphi Automotive","$20000","$10000","$9000"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$68500","$6500","$62000"
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$0","$0","$0"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$113784","$57477","$56307"
"Direct Energy Inc","UK/Centrica Plc","$0","$0","$0"
"DRS Technologies","Italy/Finmeccanica SpA","$326700","$125600","$201100"
"E2v Aerospace & Defense","UK/E2v Technologies PLC","$500","$500","$0"
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$51900","$8500","$43400"
"EDF Renewable Energy","France/EDF Group","$24250","$16750","$7500"
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$11300","$7800","$3500"
"Eisai Inc","Japan/Eisai Co Ltd","$64160","$24160","$40000"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$49000","$12500","$36500"
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$0","$0","$0"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$20500","$3000","$17500"
"EMD Serono Inc","Germany/Merck KGaA","$101500","$60000","$41500"
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$0","$0","$0"
"EnCana Oil & Gas USA","Canada/EnCana Corp","$24500","$4000","$20500"
"Endo Pharmaceuticals","Ireland/Endo International","$133500","$33500","$100000"
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$3500","$0","$3500"
"Essroc Corp","Italy/Italcementi Group","$1500","$1500","$0"
"Experian","UK/Experian","$445100","$165100","$279000"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$303700","$84500","$219200"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$11250","$10750","$500"
"Food Lion","Belgium/Delhaize Group","$10200","$5200","$5000"
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$0","$0","$0"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$198000","$91000","$107000"
"G4S Secure Solutions","UK/G4S plc","$17500","$5000","$12500"
"Gavilon (Marubeni Corp)","Japan/Marubeni Corp","$12000","$4000","$8000"
"GDF Suez Energy North America","France/GDF SUEZ","$46000","$18000","$28000"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$306500","$180500","$123500"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$12000","$6500","$5500"
"Genzyme Corp (Sanofi)","France/Sanofi","$7000","$6000","$1000"
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$0","$0","$0"
"GKN Corp","UK/GKN PLC","$6000","$3000","$3000"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$4500","$0","$4500"
"Glanbia Performance Nutrition (Glanbia PLC)","Ireland/Glanbia plc","$0","$0","$0"
"GlaxoSmithKline","UK/GlaxoSmithKline","$440000","$174500","$263500"
"Glover Park Group (WPP Group)","UK/WPP Group","$139800","$91300","$48500"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$59250","$21250","$38000"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$36500","$19000","$17500"
"Greyhound Lines","UK/FirstGroup PLC","$16500","$6500","$10000"
"Grifols Inc","Spain/Grifols SA","$83000","$48000","$33000"
"Gtech Corp","Italy/B&D Holding Di Marco Drago e C Sapa","$21200","$17600","$3600"
"Heineken USA","Netherlands/L'Arche Green NV","$27840","$18340","$9500"
"Henkel Corp (Henkel KGaA)","Germany/Henkel KGaA","$6000","$4000","$2000"
"Herbalife International","UK/Herbalife Ltd","$146700","$88100","$58600"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","-$2000","-$4000","$2000"
"Holcim US","Switzerland/Holcim Ltd","$76100","$22000","$54100"
"HSBC North America","UK/HSBC Holdings","$176000","$83500","$92500"
"Iberdrola Renewables (Iberdrola SA)","Spain/Iberdrola SA","$18500","$15000","$3500"
"Iberdrola USA (Iberdrola SA)","Spain/Iberdrola SA","$102500","$73000","$29500"
"ICAP North America","UK/ICAP plc","$0","$0","$0"
"Infineon Technologies","Germany/Infineon Technologies AG","$250","$250","$0"
"Ingersoll-Rand","Ireland/Ingersoll Rand Co","$44500","$15500","$29000"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$45000","$22500","$20000"
"Intergraph Corp","Sweden/Hexagon AB","$2000","$0","$2000"
"International Securities Exchange","Germany/Deutsche Boerse","$68000","$41500","$26500"
"Jackson National Life Insurance","UK/Prudential PLC","$159460","$41000","$115960"
"JBS USA","Brazil/JBS SA","$142500","$14000","$128500"
"Jeld-Wen Inc (Onex Corp)","Canada/Onex Corp","$9600","$2000","$7600"
"John Hancock Life Insurance","Canada/Manulife Financial","$109000","$52500","$56500"
"Kawasaki Heavy Industries","Japan/Kawasaki Heavy Industries","$0","$0","$0"
"Keystone Foods","Brazil/Marfrig Global Foods","$2000","$0","$2000"
"LaFarge North America","France/Lafarge SA","$40500","$17000","$23500"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$5500","$1500","$4000"
"Lehigh Hanson","Germany/HeidelbergCement AG","$58500","$7500","$51000"
"Linde North America","Germany/Linde AG","$102350","$33500","$68850"
"Louis Dreyfus Commodities","Netherlands/Louis Dreyfus Holding B.V.","$45700","$2000","$43700"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$14500","$8500","$6000"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$112500","$24000","$87500"
"M-E Companies","Canada/IBI Group","$500","$0","$500"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$109100","$42600","$66500"
"Magna US","Canada/Magna International","$1000","$1000","$0"
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$0","$0","$0"
"Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$22250","$3750","$18500"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$25500","$9500","$15000"
"MBDA Inc","UK/MBDA","$16400","$0","$16400"
"McDermott International (McDermott International)","Panama/McDermott International","$26600","$2000","$24600"
"Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$6000","$3500","$2500"
"Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$8200","$3700","$4500"
"MillerCoors LLC","UK/SABMiller PLC","$190500","$48000","$142500"
"Miraca Life Sciences","Japan/Miraca Holdings","$29500","$13500","$16000"
"Mitsubishi Hitachi Power Systems","Japan/Mitsubishi Hitachi Power Systems","$1000","$0","$1000"
"Morpho Detection (Safran SA)","France/Safran SA","$7000","$3000","$4000"
"MorphoTrust USA (Safran SA)","France/Safran SA","$20000","$12000","$8000"
"Motorola Mobility (Lenovo Group)","China/Lenovo Group","$4500","$3500","$1000"
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$6500","$2500","$4000"
"Munich American Reassurance","Germany/Munich Re Group","$0","$0","$0"
"Nammo Talley Inc","Norway/Nammo AS","$12250","$3250","$9000"
"National Cement Co","France/Vicat Group","$3000","$0","$3000"
"National Grid USA (National Grid plc)","UK/National Grid plc","$99850","$70350","$28500"
"National Grid USA (National Grid plc)","UK/National Grid plc","$0","$0","$0"
"Natixis Global Asset Management","France/Groupe BPCE","$11100","$5000","$6100"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$38000","$8000","$30000"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$17500","$8000","$9500"
"Nomura Holding America","Japan/Nomura Holdings","$88000","$46500","$41500"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$326250","$171000","$153250"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$407938","$196090","$211848"
"Novocure Inc","UK/Novocure","$28600","$10400","$18200"
"Oldcastle Materials","Ireland/CRH PLC","$326500","$136500","$189500"
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$0","$0","$0"
"Parsons Brinckerhoff","UK/Balfour Beatty","$143200","$96450","$46750"
"Pernod Ricard USA","France/Pernod Ricard SA","$17775","$9000","$8775"
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$5750","$3250","$2500"
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$57500","$25000","$32500"
"Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$91300","$34550","$56750"
"Philips Medical Systems (Philips Electronics)","Netherlands/Philips Electronics","$0","$0","$0"
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$19500","$2000","$17500"
"Prime Policy Group (WPP Group)","UK/WPP Group","$52500","$20750","$31750"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$30823","$4600","$26223"
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$21200","$9000","$12200"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$68100","$32000","$36100"
"Renewable Energy Systems Americas","UK/Renewable Energy Systems","$31500","$23500","$8000"
"Res-Care Inc (Onex Corp)","Canada/Onex Corp","$14000","$1500","$12500"
"Resolute FP US","Canada/Resolute Forest Products","$48000","$7500","$40500"
"Rio Tinto America","UK/Rio Tinto Group","$18500","$6000","$11500"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$238000","$67000","$171000"
"Royal Ten Cate USA","Netherlands/Koninklijke Ten Cate","$21500","$7500","$14000"
"Safelite Group","Belgium/D'Ieteren SA","$1000","$0","$1000"
"Sanofi US (Sanofi)","France/Sanofi","$442775","$168000","$272775"
"Sanofi-Pasteur Inc (Sanofi)","France/Sanofi","$110500","$22000","$88500"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$0","$0","$0"
"SAP America","Germany/SAP AG","$117600","$76100","$41500"
"Securitas Security Services USA","Sweden/Securitas AB","$10800","$1300","$9500"
"Serco Inc","UK/Serco Group","$138600","$43100","$89500"
"Shell Oil","Netherlands/Royal Dutch Shell","$97100","$23100","$74000"
"Shire Pharmaceuticals (Shire Plc)","UK/Shire Plc","$0","$0","$0"
"Siemens Corp","Germany/Siemens AG","$291900","$130400","$159500"
"Skilled Healthcare Group (Onex Corp)","Canada/Onex Corp","$33100","$9000","$24100"
"Smith & Nephew","UK/Smith & Nephew Plc","$53500","$16000","$37500"
"Smithfield Foods","China/WH Group","$100700","$33000","$67700"
"Smiths Group Services Corp","UK/Smiths Group PLC","$107500","$33500","$74000"
"Sodexo Inc","France/Sodexo","$9000","$8000","$1000"
"Solvay America","Belgium/Solvay SA","$21500","$10500","$11000"
"SonoSite Inc","Japan/FujiFilm","$0","$0","$0"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$232498","$144498","$87000"
"Space Systems/Loral","Canada/MacDonald Dettwiler & Assoc","$10000","$6000","$4000"
"Sprint Communications (SoftBank Corp)","Japan/Softbank Corp","$306000","$133500","$169500"
"SSAB Americas","Sweden/SSAB AB","$15000","$5000","$10000"
"StandardAero","United Arab Emirates/Dubai Aerospace Enterprise","$27000","$13500","$13500"
"Sunovion Pharmaceuticals","Japan/Sumitomo Chemical","$20000","$9000","$11000"
"Sunpower Corp","France/Total SA","$11100","$9100","$2000"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$40600","$6000","$34600"
"Swiss Re America","Switzerland/Swiss Reinsurance","$15500","$4500","$11000"
"Syngenta Corp","Switzerland/Syngenta AG","$85750","$16250","$69500"
"T-Mobile USA","Germany/Deutsche Telekom AG","$368500","$213500","$152000"
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$104000","$53000","$51000"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$21600","$2000","$19600"
"TD Bank USA","Canada/Toronto-Dominion Bank","$95250","$44750","$50500"
"TE Connectivity","Switzerland/TE Connectivity","$111000","$25000","$86000"
"Terumo BCT","Japan/Terumo Corp","$0","$0","$0"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$163500","$48500","$115000"
"Toyota Motor North America","Japan/Toyota Motor Corp","$284000","$124000","$160000"
"TracFone Wireless","Mexico/America Movil","$2000","$0","$2000"
"TransAmerica","Netherlands/Aegon NV","$288000","$117000","$171000"
"Transcanada USA Services","Canada/TransCanada Corp","$15500","$2500","$13000"
"Travelport Inc","UK/Travelport Ltd","$3000","$0","$3000"
"Tronox Inc","Australia/Tronox Ltd","$0","$0","$0"
"Tyco International (Tyco International)","Ireland/Tyco International","$364750","$130000","$234750"
"UBS Americas","Switzerland/UBS AG","$1481250","$670000","$808750"
"UCB Inc (UCB SA)","Belgium/UCB SA","$0","$0","$0"
"Ultra Electronics USA","UK/Ultra Electronics","$0","$0","$0"
"United Illuminating (Iberdrola SA)","Spain/Iberdrola SA","$0","$0","$0"
"United Water","France/SUEZ Environnement","$24100","$23600","$500"
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$89750","$45250","$44500"
"VT Halter Marine","Singapore/ST Engineering","$13250","$750","$12000"
"Weatherford US","UK/Weatherford International","$1000","$0","$1000"
"Westfield Corp","Australia/Westfield Group of Australia","$20155","$19655","$500"
"Westinghouse Electric","Japan/Toshiba Corp","$114000","$26500","$87500"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$64000","$30000","$34000"
"Willis North America","UK/Willis Group","$5500","$1000","$4500"
"XL America","Ireland/XL Group PLC","$0","$0","$0"
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$188500","$100000","$88500"
