"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Seven & I Holdings","$0","$0","$0"
"ABB Group","Switzerland/Asea Brown Boveri","$17000","$7500","$9000"
"Accenture (Accenture)","Ireland/Accenture plc","$337400","$193000","$143400"
"Accenture (Accenture)","Ireland/Accenture plc","$0","$0","$0"
"ACE INA","Switzerland/ACE Ltd","$240500","$129500","$111000"
"AEGON USA","Netherlands/Aegon NV","$186000","$106500","$79500"
"Agrium US","Canada/Agrium Inc","$2400","$0","$0"
"Air Liquide America","France/L'Air Liquide SA","$24950","$18200","$4250"
"Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$0","$0","$0"
"Alcatel-Lucent USA (Alcatel-Lucent)","France/Alcatel-Lucent","$21000","$15500","$5500"
"Alcon Laboratories (Novartis AG)","Switzerland/Novartis","$29455","$8455","$21000"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$84850","$37850","$47000"
"American Medical Response (Onex Corp)","Canada/Onex Corp","$44200","$38200","$6000"
"Anheuser-Busch","Belgium/Anheuser-Busch InBev","$854500","$454000","$399500"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$62500","$35000","$25000"
"Arcadis US","Netherlands/Arcadis NV","$237750","$136250","$97500"
"ArcelorMittal USA","Luxembourg/ArcelorMittal","$60500","$42500","$18000"
"Arch Capital Group (US)","UK/Arch Capital Group","$12800","$9300","$3500"
"AREVA Inc","France/Areva Group","$99900","$62400","$34500"
"Arkema Inc","France/Arkema","$14500","$8500","$6000"
"Astellas US","Japan/Astellas Pharma","$93500","$56000","$37500"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$703500","$368000","$328500"
"Atlantic Marine (BAE Systems)","UK/BAE Systems","$20500","$10000","$10500"
"Aviva USA","UK/Aviva PLC","$0","$0","$0"
"AXA Equitable Life Insurance (AXA)","France/AXA","$285500","$171500","$114000"
"AXIS Specialty US Services (AXIS Capital)","UK/AXIS Captial","$3000","$3000","$0"
"Bacardi USA","UK/Bacardi Ltd","$20025","$11025","$8000"
"BAE Systems (BAE Systems)","UK/BAE Systems","$745000","$418500","$326000"
"Ballard Power Systems","Canada/Ballard Power Systems","$0","$0","$0"
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$0","$0","$0"
"Barclays Group US (Barclays)","UK/Barclays plc","$104000","$46500","$57500"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$152500","$33000","$104500"
"BASF Corp (BASF SE)","Germany/BASF SE","$350500","$102000","$246500"
"Bayer Corp","Germany/Bayer AG","$419000","$184000","$231000"
"BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$164000","$42000","$122000"
"BMO Harris Bank","Canada/Bank of Montreal","$2050","$2050","$0"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$236000","$132500","$101500"
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$20000","$19000","$1000"
"BP","UK/BP PLC","$71500","$31500","$35000"
"Bridgestone Americas","Japan/Bridgestone Corp","$104000","$65500","$38500"
"Bumble Bee Foods","UK/Lion Capital","$17250","$12750","$4500"
"Burson-Marsteller (WPP Group)","UK/WPP Group","$82250","$50750","$31500"
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$7050","$1000","$6050"
"CalPortland Co","Japan/Taiheiyo Cement Co","$130500","$22000","$106000"
"CaridianBCT","Sweden/Gambro AB","$0","$0","$0"
"Carmeuse Lime","Netherlands/LVI Holding","$9500","$8000","$1500"
"Case New Holland","Italy/Fiat SPA","$82000","$5000","$77000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$260800","$33400","$225000"
"CGI Technologies & Solutions","Canada/CGI Group","$62854","$34000","$28854"
"Ciba Inc (BASF SE)","Germany/BASF SE","$15725","$7725","$8000"
"Citizens Financial Group","UK/Royal Bank of Scotland Group","$111150","$89150","$22000"
"Cobham Holdings (Cobham Holdings)","UK/Cobham plc","$15000","$4000","$11000"
"Cobham Management Services (Cobham PLC)","UK/Cobham PLC","$137125","$70400","$64225"
"Commonwealth Brands","UK/Imperial Tobacco Group","$68300","$27300","$41000"
"Converteam Inc (Barclays)","UK/Barclays","$1800","$1800","$0"
