"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Seven & I Holdings","$0","$0","$0"
"ABB Group (ABB Group)","Switzerland/Asea Brown Boveri","$9500","$7000","$2500"
"ABB Group (ABB Group)","Switzerland/Asea Brown Boveri","$11000","$1000","$10000"
"Accenture (Accenture)","Ireland/Accenture plc","$326000","$124500","$201500"
"Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$82050","$33000","$49050"
"Air Liquide America","France/L'Air Liquide SA","$35000","$9500","$24000"
"Airbus Group","Netherlands/Airbus Group","$167450","$31500","$135950"
"Alkermes Inc","Ireland/Alkermes Plc","$121700","$25200","$96500"
"Allergan Inc (Allergan PLC)","Ireland/Allergan PLC","$152000","$29000","$123000"
"Allergan Inc (Allergan PLC)","Ireland/Allergan PLC","$37596","$2000","$35596"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$86600","$21850","$64750"
"Altice USA","Netherlands/Altice NV","$62900","$48900","$14000"
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$500","$0","$500"
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$575574","$224500","$351074"
"AON Corp (AON plc)","UK/AON PLC","$127200","$39500","$87700"
"APL Ltd (CMA CGM)","France/CMA CGM SA","$47000","$23500","$23500"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$8500","$1000","$7500"
"ArcelorMittal USA","Luxembourg/ArcelorMittal","$72500","$29000","$43500"
"Arch Capital Group (US)","UK/Arch Capital Group","$5500","$3000","$2500"
"AREVA Inc (AREVA Group)","France/Areva Group","$104250","$26750","$77500"
"AREVA Inc/New Mexico (AREVA Group)","France/Areva Group","$0","$0","$0"
"Arkema Inc","France/Arkema","$65750","$24750","$41000"
"Ashta Chemicals","Mexico/Bigshire Mexico","$2700","$0","$2700"
"Ashton Woods Corp","Canada/Great Gulf Group","$9500","$2000","$7500"
"Astellas US","Japan/Astellas Pharma","$244000","$98500","$145500"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$527500","$239000","$288500"
"Atkins North America","UK/WS Atkins PLC","$500","$0","$500"
"Austal USA (Austal Ltd)","Australia/Austal Ltd","$27000","$1000","$26000"
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$106700","$67700","$36500"
"AXA Equitable Life Insurance (AXA)","France/AXA","$194000","$64500","$129500"
"Bacardi USA","UK/Bacardi Ltd","$42960","$12000","$30960"
"BAE Systems (BAE Systems)","UK/BAE Systems","$615500","$237000","$377500"
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$17500","$2500","$15000"
"Barclays Group US","UK/Barclays plc","$87000","$37000","$47500"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$85500","$34500","$51000"
"BASF Corp","Germany/BASF SE","$678236","$217750","$460486"
"Baxalta (Shire PLC)","Ireland/Shire Plc","$17500","$12000","$5500"
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$480000","$105000","$375000"
"BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$251625","$48000","$203625"
