"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Accenture (Accenture)","Ireland/Accenture plc","$3000","$0","$3000"
"Acreage Holdings","Canada/Acreage Holdings","$0","$0","$0"
"Air Liquide America","France/L'Air Liquide SA","$17300","$14800","$2500"
"Airbus Group","Netherlands/Airbus Group","$192500","$81500","$111000"
"Alexion Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$186250","$104000","$82250"
"Alkermes Inc","Ireland/Alkermes Plc","$81000","$34500","$46500"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$30500","$20500","$10000"
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2025","$0","$2025"
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$457500","$218000","$239500"
"AON Corp (AON plc)","UK/AON PLC","$98500","$52000","$46500"
"APL Maritime (CMA CGM)","France/CMA CGM SA","$19000","$8000","$11000"
"Aptiv PLC","Ireland/Aptiv PLC","$8350","$5350","$3000"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$1000","$0","$1000"
"Arch Capital Group (US)","UK/Arch Capital Group","$8500","$5500","$3000"
"Arkema Inc","France/Arkema","$51500","$27000","$24500"
"Ashton Woods Homes","Canada/Great Gulf Group","$2500","$0","$2500"
"Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK/Assured Guaranty Ltd","$91800","$55500","$36300"
"Astellas US","Japan/Astellas Pharma","$143000","$61000","$82000"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$312250","$127500","$184750"
"Atkins North America","UK/SNC-Lavalin","$18000","$5000","$13000"
"Austal USA","Australia/Austal Ltd","$50200","$5000","$45200"
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$152500","$100500","$52000"
"Bacardi USA","UK/Bacardi Ltd","$45200","$18500","$25700"
"BAE Systems (BAE Systems)","UK/BAE Systems","$739500","$320000","$419500"
"Barclays Group US","UK/Barclays plc","$120500","$49500","$71000"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$14500","$11000","$3500"
"BASF Corp","Germany/BASF SE","$409500","$222000","$187500"
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$201000","$117500","$83500"
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$46000","$26000","$20000"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$187000","$97500","$89500"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$174000","$81500","$92500"
"Bombardier Aerospace (Bombardier Inc)","Canada/Bombardier Inc","$36500","$16500","$20000"
"BP North America","UK/BP PLC","-$2000","$0","-$2000"
"Bridgestone Americas","Japan/Bridgestone Corp","$29500","$15000","$14500"
"Bumble Bee Foods (FCF Co)","Taiwan/FCF Co","$6000","$6000","$0"
"CAE USA","Canada/CAE Inc","$11000","$6000","$5000"
"CalPortland Co","Japan/Taiheiyo Cement Co","$211000","$13000","$198000"
"Carmeuse Lime","Netherlands/Carmeuse SA","$1000","$0","$1000"
"Case New Holland","Netherlands/CNH Industrial","$101000","$5000","$96000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$44500","$18500","$26000"
"CGI Technologies & Solutions","Canada/CGI Group","$48000","$40000","$8000"
"Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$95500","$49000","$46500"
"CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$2000","$2000","$0"
"Cirrus Aircraft Corp","China/Aviation Industry Corp of China","$0","$0","$0"
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$59000","$31000","$28000"
"Covestro LLC (Covestro AG)","Germany/Covestro AG","$14000","$9500","$4500"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$55000","$25000","$30000"
"CRH Americas (CRH PLC)","Ireland/CRH PLC","$549600","$208500","$341100"
"Cronos USA","Canada/Cronos Group","$34000","$22000","$12000"
"CSL Behring","Australia/CSL Ltd","$52600","$32700","$19900"
"Delhaize America","Belgium/Ahold Delhaize","$47000","$20500","$26500"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$0","$0","$0"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$17575","$12575","$5000"
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$52353","$24500","$27853"
"EDF Renewables (EDF Group)","France/EDF Group","$35000","$29500","$5500"
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$22000","$20500","$1500"
"Eisai Inc","Japan/Eisai Co Ltd","$23100","$11300","$11800"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$61500","$16500","$45000"
"Electrolux Home Products","Sweden/AB Electrolux","$4500","$1500","$3000"
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$87100","$40500","$46600"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$62500","$18500","$44000"
"EMD Serono Inc","Germany/Merck KGaA","$149500","$80000","$69500"
"Empire District Electric (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","-$1000","-$1000","$0"
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$45500","$18500","$27000"
"Enbridge Inc","Canada/Enbridge Inc","$87000","$23500","$63500"
"Endo Pharmaceuticals","Ireland/Endo International","$0","$0","$0"
"ENGIE North America","France/ENGIE","$21500","$17500","$4000"
"Equitable Holdings (AXA)","France/AXA","$190500","$114500","$76000"
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$114500","$58500","$56000"
"Essent US Holdings","UK/Essent Group","$10500","$2500","$8000"
"Experian","UK/Experian","$562000","$261500","$300500"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$192000","$111500","$80500"
"Fincantieri Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$15500","$7000","$8500"
"Finsbury Glover Hering (WPP Group)","UK/WPP Group","$123250","$70500","$52750"
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$53000","$21500","$31500"
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$2200","$2200","$0"
"Framatome (EDF Group)","France/EDF Group","$31000","$15000","$16000"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$407000","$181000","$226000"
"G4S Secure Solutions","UK/G4S plc","$2900","$2900","$0"
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$117000","$39500","$77500"
