"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Ito-Yokado","$750","$0","$750"
"ABB Group","Switzerland/Asea Brown Boveri","$16500","$6500","$10000"
"Accenture","UK/Accenture plc","$197071","$54124","$142947"
"ACE INA","UK/ACE Ltd","$169900","$39500","$130400"
"AE Staley Manufacturing (Tate & Lyle)","UK/Tate & Lyle","$11500","$500","$11000"
"AEGON USA","Netherlands/Aegon NV","$174500","$72000","$102500"
"AIM Management Group","UK/AMVESCAP","$18500","$5000","$13500"
"Air Liquide America","France/L'Air Liquide SA","$12925","$4750","$8175"
"Alcatel USA","France/Alcatel","$12500","$1000","$11500"
"Alcon Laboratories (Nestle SA)","Switzerland/Nestle","$32220","$8500","$23720"
"Allfirst Financial","Ireland/Allied Irish Banks","$0","$0","$0"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$116750","$40400","$76350"
"Allied Domecq Spirits & Wine","UK/Allied Domecq","$43500","$12000","$31500"
"American Medical Response","Canada/Onex Corp","$0","$0","$0"
"American Water Works Co (RWE AG)","Germany/RWE AG","$1000","$1000","$0"
"Anglogold Ltd","UK/Anglo American PLC","$6500","$3000","$3500"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$16500","$11000","$5500"
"Arcadis G&M","Netherlands/Arcadis NV","$11200","$1200","$10000"
"AREVA Inc","France/Areva Group","$18500","$2000","$16500"
"ASARCO LLC","Mexico/Nueva Grupo Mexico","$0","$0","$0"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$219130","$61630","$157500"
"ATOFINA Chemicals (TOTAL SA)","France/TOTAL SA","$22000","$2500","$19500"
"Aventis Pharmaceuticals (Sanofi-Aventis)","France/Sanofi-Aventis","$109265","$25515","$83750"
"AXA Equitable Life Insurance (AXA)","France/AXA","$145500","$39000","$106500"
"Babcock & Wilcox (McDermott International)","Panama/McDermott International","$26000","$7000","$19000"
"Bacardi USA","UK/Bacardi Ltd","$13973","$4000","$9973"
"BAE Systems Information Technology (BAE Systems North America)","UK/BAE Systems","$0","$0","$0"
"BAE Systems North America (BAE Systems)","UK/BAE Systems","$302150","$134100","$168050"
"Ballard Power Systems","Canada/Ballard Power Systems","$5000","$5000","$0"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$60000","$14000","$46000"
"BASF Corp","Germany/BASF Group","$92000","$10500","$81500"
"Bayer Corp","Germany/Bayer AG","$250500","$59000","$191500"
"BNFL Inc (BNFL PLC)","UK/British Nuclear Fuels PLC","$23500","$1000","$22500"
"BOC Group","UK/BOC Group","$0","$0","$0"
"Bombardier Transportation USA","Canada/Bombardier Inc","$19025","$4500","$14525"
"BP","UK/BP PLC","$219999","$83500","$136499"
"Bridgestone Americas","Japan/Bridgestone Corp","$107250","$34000","$73250"
"Budd Co","Germany/ThyssenKrupp AG","$15827","$3000","$12827"
"Burson-Marsteller (WPP Group)","UK/WPP Group","$78250","$29500","$46250"
"Business Men's Assurance Co","Italy/Assicurazioni Generali","$4065","$0","$4065"
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$5500","$0","$5500"
"BWX Technologies (McDermott International)","Panama/McDermott International","$75499","$15500","$59999"
"California Portland Cement Co","Japan/Taiheiyo Cement Co","$18650","$2150","$16500"
"Case New Holland","Italy/Fiat SPA","$52000","$5500","$46500"
"CGI-AMS","Canada/CGI Group","$0","$0","$0"
"CGU Corp","UK/CGNU PLC","$2000","$2000","$0"
"Ciba Specialty Chemicals","Switzerland/Ciba Specialty Chemicals Holding","$21070","$5070","$16000"
"CIBC World Markets","Canada/Canadian Imperial Bank of Commerce","$0","$0","$0"
"Cooper Industries","Ireland/Cooper Industries Ltd","$198000","$0","$193000"
"Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch/Shell Group of Companies","$0","$0","$0"
"Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$379250","$143250","$236000"
"DaimlerChrysler (DaimlerChrysler)","Germany/DaimlerChrysler AG","$440100","$135220","$304880"
"Diageo North America","UK/Diageo PLC","$39500","$18000","$21500"
"Dial Corp","Germany/Henkel KGaA","$28500","$9000","$19500"
"DIRECTV Group (News Corporation)","Australia/News Corp","$9000","$5000","$4000"
