"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Seven & I Holdings","$0","$0","$0"
"ABB Group","Switzerland/Asea Brown Boveri","$9250","$2250","$6500"
"Accenture (Accenture)","UK/Accenture plc","$313380","$115680","$195700"
"Accenture (Accenture)","UK/Accenture plc","$0","$0","$0"
"ACE INA","UK/ACE Ltd","$108000","$33000","$75000"
"Acuson Corp (Siemens AG)","Germany/Siemens AG","$0","$0","$0"
"AEGON USA","Netherlands/Aegon NV","$153500","$58000","$94000"
"Agrium US","Canada/Agrium Inc","$0","$0","$0"
"AIM Management Group","UK/AMVESCAP","$32000","$12500","$19500"
"Air Liquide America","France/L'Air Liquide SA","$4000","$2000","$2000"
"Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$68000","$25000","$43000"
"Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$20000","$8000","$12000"
"Alcon Laboratories (Nestle SA)","Switzerland/Nestle","$40826","$3500","$37326"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$119650","$38100","$80550"
"Allied Domecq Spirits & Wine","France/Pernod Ricard SA","$17575","$3515","$14060"
"American Medical Response","Canada/Onex Corp","$15750","$2500","$11250"
"American Water Works Co (RWE AG)","Germany/RWE AG","$0","$0","$0"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$31000","$13500","$17500"
"Arcadis G&M","Netherlands/Arcadis NV","$46800","$11000","$35800"
"AREVA Inc","France/Areva Group","$95500","$32000","$58500"
"Arkema Inc","France/Arkema","$19000","$2000","$17000"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$384320","$105820","$276500"
"Aviva USA","UK/Aviva PLC","$2000","$2000","$0"
"AXA Equitable Life Insurance (AXA)","France/AXA","$115000","$49000","$66000"
"Babcock & Wilcox (McDermott International)","Panama/McDermott International","$30000","$4000","$26000"
"Bacardi USA","UK/Bacardi Ltd","$14990","$3490","$9500"
"BAE Systems (BAE Systems)","UK/BAE Systems","$499499","$189500","$301999"
