"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Seven & I Holdings","$20000","$1000","$19000"
"ABB Group (ABB Group)","Switzerland/Asea Brown Boveri","$16900","$6800","$10100"
"Accenture (Accenture)","Ireland/Accenture plc","$83500","$50500","$33000"
"Air Liquide America","France/L'Air Liquide SA","$37800","$15800","$22000"
"Airbus Group","Netherlands/Airbus Group","$182000","$79000","$103000"
"Alkermes Inc","Ireland/Alkermes Plc","$94750","$30750","$64000"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$71300","$36150","$35150"
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2000","$0","$2000"
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$336500","$174000","$162500"
"AON Corp (AON plc)","UK/AON PLC","$80500","$44000","$36500"
"APL Maritime (CMA CGM)","France/CMA CGM SA","$26500","$14000","$12500"
"Aptiv PLC","Ireland/Aptiv PLC","$0","$0","$0"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$0","$0","$0"
"Arch Capital Group (US)","UK/Arch Capital Group","$8000","$4500","$3500"
"Arkema Inc","France/Arkema","$69500","$28000","$41500"
"Ash Grove (CRH Plc)","Ireland/CRH PLC","$0","$0","$0"
"Ashton Woods Homes","Canada/Great Gulf Group","$0","$0","$0"
"Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK/Assured Guaranty Ltd","$146500","$85200","$56300"
"Astellas US","Japan/Astellas Pharma","$203500","$98000","$105500"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$321500","$155500","$166000"
"Atkins North America","UK/SNC-Lavalin","$41750","$11050","$30700"
"Austal USA (Austal Ltd)","Australia/Austal Ltd","$31200","$6200","$25000"
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$100000","$61000","$39000"
"Bacardi USA","UK/Bacardi Ltd","$51850","$22000","$27850"
"BAE Systems (BAE Systems)","UK/BAE Systems","$733500","$364000","$367500"
"Barclays Group US","UK/Barclays plc","$159500","$74000","$85500"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$39500","$24000","$15500"
"BASF Corp","Germany/BASF SE","$447000","$252000","$195000"
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$347400","$151000","$196400"
"Bayer CropScience (Bayer AG)","Germany/Bayer AG","-$4500","-$4500","$0"
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$42897","$24066","$18831"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$1500","$1500","$0"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$190260","$90260","$100000"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$187500","$96000","$91500"
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$45000","$29000","$16000"
"BP North America","UK/BP PLC","$236000","$90000","$146000"
"Bridgestone Americas","Japan/Bridgestone Corp","$21000","$3500","$17500"
"Bumble Bee Foods (FCF Co)","Taiwan/FCF Co","$2500","$2500","$0"
"Buzzi Unicem USA (Buzzi Unicem SpA)","Italy/Buzzi Unicem SpA","$500","$0","$500"
"CalPortland Co","Japan/Taiheiyo Cement Co","$249000","$19500","$229500"
"Cardtronics Inc","UK/Cardtronics Plc","$11500","$7000","$4500"
"Carmeuse Lime","Netherlands/Carmeuse SA","$0","$0","$0"
"Case New Holland","Netherlands/CNH Industrial","$122000","$7000","$115000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$179750","$45000","$134750"
"CGI Technologies & Solutions","Canada/CGI Group","$39500","$31500","$8000"
"Chicago Bridge & Iron (McDermott International)","Panama/McDermott International","$5470","$470","$5000"
"Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$213000","$98000","$115000"
"CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$5000","$3000","$2000"
"Cirrus Aircraft Corp","China/Aviation Industry Corp of China","$1500","$1500","$0"
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$93000","$48000","$45000"
"Covestro LLC (Covestro AG)","Germany/Covestro AG","$48000","$12500","$35500"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$64500","$22500","$42000"
"CRH Americas (CRH PLC)","Ireland/CRH PLC","$566500","$200500","$366000"
"CSL Behring","Australia/CSL Ltd","$90600","$25000","$65600"
"Daimler Trucks North America (Daimler AG)","Germany/Daimler AG","$2500","$0","$2500"
"Delhaize America","Belgium/Ahold Delhaize","$37000","$12000","$25000"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$0","$0","$0"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$50563","$29095","$21468"
"Direct Energy Inc","UK/Centrica Plc","$27000","$17000","$10000"
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$51500","$23000","$28500"
"EDF Renewables (EDF Group)","France/EDF Group","$44000","$24000","$20000"
