"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"ABB Group","Switzerland/Asea Brown Boveri","$5500","$3500","$2000"
"Abengoa Solar","Spain/Abengoa SA","$0","$0","$0"
"Accenture (Accenture)","Ireland/Accenture plc","$0","$0","$0"
"Accenture (Accenture)","Ireland/Accenture plc","$304500","$160000","$144500"
"ACE INA","Switzerland/ACE Ltd","$281500","$121500","$160000"
"Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$115750","$22000","$93750"
"Advanced BioHealing (Shire Plc)","UK/Shire Plc","$37250","$19750","$17500"
"Agrium US","Canada/Agrium Inc","$112","$0","$112"
"Air Liquide America","France/L'Air Liquide SA","$25500","$12000","$9000"
"Alcatel-Lucent USA (Alcatel-Lucent)","France/Alcatel-Lucent","$19000","$8000","$11000"
"Alcon Laboratories (Novartis AG)","Switzerland/Novartis","$8000","$2000","$6000"
"Alkermes Inc","Ireland/Alkermes Plc","$6000","$1000","$5000"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$80750","$25000","$55750"
"Alstom","France/Alstom SA","$0","$0","$0"
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0"
"Anheuser-Busch","Belgium/Anheuser-Busch InBev","$806381","$361381","$445000"
"AON Corp (AON plc)","UK/AON PLC","$115000","$49000","$66000"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$35500","$6000","$29500"
"Arcadis US","Netherlands/Arcadis NV","$184500","$95000","$89500"
"ArcelorMittal USA","Luxembourg/ArcelorMittal","$69500","$29000","$40500"
"Arch Capital Group (US)","UK/Arch Capital Group","$9000","$2000","$7000"
"AREVA Inc","France/Areva Group","$106750","$48250","$58500"
"Arkema Inc","France/Arkema","$22500","$6000","$16500"
"Ashta Chemicals","Mexico/Bigshire Mexico","$0","$0","$0"
"Astellas US","Japan/Astellas Pharma","$85500","$44000","$41500"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$640452","$296952","$343500"
"Atkins North America","UK/WS Atkins PLC","$2750","$1500","$1250"
"Atlantic Marine (BAE Systems)","UK/BAE Systems","$0","$0","$0"
"Aviva USA","UK/Aviva PLC","$6500","$4000","$2500"
"AXA Equitable Life Insurance (AXA)","France/AXA","$149500","$74000","$75500"
"AXIS Specialty US Services (AXIS Capital)","UK/AXIS Captial","$3000","$2000","$1000"
"Bacardi USA","UK/Bacardi Ltd","$16500","$8000","$8500"
"BAE Systems (BAE Systems)","UK/BAE Systems","$737000","$276000","$461000"
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$6000","$0","$6000"
"Barclays Group US","UK/Barclays plc","$104499","$23500","$80999"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$113500","$45000","$68500"
"BASF Corp","Germany/BASF SE","$411500","$118500","$293000"
"Bayer Corp","Germany/Bayer AG","$470000","$150000","$320000"
"BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$249500","$62000","$187500"
"BMO Harris Bank (Bank of Montreal)","Canada/Bank of Montreal","$7100","$4300","$2800"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$147750","$81750","$66000"
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$13500","$12500","$1000"
"BP","UK/BP PLC","$207000","$58000","$149000"
"Bridgestone Americas","Japan/Bridgestone Corp","$70996","$26000","$44996"
"Bumble Bee Foods","UK/Lion Capital","$20500","$5500","$15000"
"Burson-Marsteller (WPP Group)","UK/WPP Group","$62750","$31250","$31500"
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$6250","-$500","$6750"
"CalPortland Co","Japan/Taiheiyo Cement Co","$80999","$16500","$64499"
"Carmeuse Lime","Netherlands/LVI Holding","$15000","$5500","$9500"
"Case New Holland","Italy/Fiat SPA","$90000","$7500","$82500"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$166500","$20200","$146300"
"Cephalon Inc (Teva Pharmaceutical Industries)","Israel/Teva Pharmaceutical Industries","$53500","$11500","$42000"
"CGI Technologies & Solutions","Canada/CGI Group","$128500","$61500","$67000"
"Citizens Financial Group","UK/Royal Bank of Scotland Group","$150750","$112750","$37000"
"Cobham Management Services","UK/Cobham PLC","$148500","$41500","$107000"
"Commonwealth-Altadis","UK/Imperial Tobacco Group","$77000","$19500","$57500"
"Cooper Industries (Eaton Corp)","Ireland/Eaton Plc","$48500","$3000","$45500"
"Covidien US","UK/Covidien Ltd","$249300","$102500","$146800"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$519000","$239500","$279500"
"CSL Behring","Australia/CSL Ltd","$43000","$19000","$24000"
"Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$218000","$68000","$150000"
"Delphi Automotive","UK/Delphi Automotive","$36000","$16000","$20000"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$53900","$20400","$33500"
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$2000","$0","$2000"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$115065","$58303","$56762"
"Diageo North America/CT (Diageo PLC)","UK/Diageo PLC","$0","$0","$0"
"Direct Energy Inc","UK/Centrica Plc","$0","$0","$0"
"DRS Technologies","Italy/Finmeccanica SpA","$405300","$173000","$232300"
"EADS North America","Netherlands/European Aeronautic Defence & Space Co","$240600","$85000","$155600"
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$10500","$2500","$8000"
"EDF Renewable Energy","France/EDF Group","$17150","$10000","$7150"
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$7500","$4500","$3000"
"Eisai Inc","Japan/Eisai Co Ltd","$82500","$35000","$47500"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$32000","$5500","$26500"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$9500","$3500","$6000"
"EMD Serono Inc","Germany/Merck KGaA","$124500","$71000","$53500"
"EnCana Oil & Gas USA","Canada/EnCana Corp","$0","$0","$0"
"Essroc Corp","Italy/Italcementi Group","$6500","$3500","$3000"
"Experian","UK/Experian","$426000","$99500","$326500"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$189900","$38250","$151650"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$16500","$13500","$3000"
"FirstGroup America (FirstGroup PLC)","UK/FirstGroup PLC","$0","$0","$0"
"Food Lion","Belgium/Delhaize Group","$12500","$8000","$3500"
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$0","$0","$0"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$199398","$109500","$89898"
"G4S Government Solutions (G4S plc)","UK/G4S plc","$0","$0","$0"
"G4S Secure Solutions (G4S plc)","UK/G4S plc","$64000","$15500","$48500"
"GDF Suez Energy North America","France/GDF SUEZ","$58000","$18500","$39500"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$269500","$134000","$135500"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$5750","$3000","$2750"
"Genzyme Corp (Sanofi)","France/Sanofi","$21000","$10000","$11000"
"GKN Corp","UK/GKN PLC","$500","$500","$0"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$100","$0","$100"
"GlaxoSmithKline","UK/GlaxoSmithKline","$521250","$239000","$282250"
"Glover Park Group (WPP Group)","UK/WPP Group","$123665","$85815","$37850"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$59750","$23500","$36250"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$59000","$31000","$28000"
"Greyhound Lines (FirstGroup PLC)","UK/FirstGroup PLC","$14500","$9500","$5000"
"Grifols Inc","Spain/Grifols SA","$40000","$28000","$12000"
"Gtech Corp","Italy/B&D Holding Di Marco Drago e C Sapa","$16500","$15500","$1000"
"Heineken USA","Netherlands/L'Arche Green NV","$33500","$15000","$18500"
"Henkel Corp (Henkel KGaA)","Germany/Henkel KGaA","$6000","$4000","$2000"
"Herbalife International","UK/Herbalife Ltd","$66971","$28493","$38478"
"Hill & Knowlton Strategies (WPP Group)","UK/WPP Group","$2000","$2000","$0"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$54500","$28000","$26500"
"Holcim US","Switzerland/Holcim Ltd","$74000","$32000","$42000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$239500","$108500","$131000"
"HSBC North America/Michigan (HSBC Holdings)","UK/HSBC Holdings","$0","$0","$0"
"Iberdrola Renewables (Iberdrola SA)","Spain/Iberdrola SA","$45500","$29000","$15500"
"Iberdrola USA (Iberdrola SA)","Spain/Iberdrola SA","$10000","$6000","$0"
"Infineon Technologies","Germany/Infineon Technologies AG","$1000","$500","$500"
"ING US (ING Group)","Netherlands/ING Group","$125500","$67000","$57500"
"Ingersoll-Rand","Ireland/Ingersoll Rand Co","$26000","$10500","$15500"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$70442","$29750","$40692"
"Intergraph Corp","Sweden/Hexagon AB","$2000","$0","$2000"
"International Power America","UK/International Power","$0","$0","$0"
"International Securities Exchange","Germany/Deutsche Boerse","$49250","$29000","$20250"
"Jackson National Life Insurance","UK/Prudential PLC","$171679","$30500","$141179"
"JBS USA","Brazil/JBS SA","$115000","$20000","$95000"
"Jeld-Wen Inc (Onex Corp)","Canada/Onex Corp","$7750","$3250","$4500"
"John Hancock Life Insurance","Canada/Manulife Financial","$131000","$66000","$65000"
"Kawasaki Motors Corp USA","Japan/Kawasaki Heavy Industries","$0","$0","$0"
"Keystone Foods","Brazil/Marfrig Global Foods","$1000","$0","$1000"
"LaFarge North America","France/Lafarge SA","$79500","$25000","$54500"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$8000","$3000","$5000"
"Lehigh Hanson","Germany/HeidelbergCement AG","$22500","$3500","$19000"
"Linde North America","Germany/Linde AG","$55000","$26000","$29000"
"Louis Dreyfus Commodities (Louis Dreyfus Group)","Netherlands/Louis Dreyfus Holding B.V.","$46500","$4000","$42500"
"Louis Dreyfus Group (Louis Dreyfus Group)","Netherlands/Louis Dreyfus Group","$0","$0","$0"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$0","$0","$0"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$87000","$19500","$67500"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$139500","$54500","$85000"
"Magna Holdings of America","Canada/Magna International","$1758","$1758","$0"
"Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$26000","$0","$26000"
"Marshall & Ilsley Corp (Bank of Montreal)","Canada/Bank of Montreal","$22000","$1500","$20500"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$27500","$14000","$13500"
"MBDA Inc","UK/MBDA","$7000","$1000","$6000"
"McDermott International (McDermott International)","Panama/McDermott International","$49500","$3500","$46000"
"Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$76500","$40000","$36500"
"Metro-Goldwyn-Mayer (Sony Corp)","Japan/Sony Corp","$0","$0","$0"
"Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$19000","$10500","$8500"
"MillerCoors LLC","UK/SABMiller PLC","$215000","$45500","$169500"
"Miraca Life Sciences","Japan/Miraca Holdings","$0","$0","$0"
"MorphoTrust USA (Safran SA)","France/Safran SA","$0","$0","$0"
"Munich American Reassurance","Germany/Munich Re Group","$0","$0","$0"
"Nammo Talley Inc","Norway/Nammo AS","$4000","$3500","$500"
"National Cement Co","France/Vicat Group","$2500","$0","$2500"
"National Grid USA (National Grid plc)","UK/National Grid plc","$0","$0","$0"
"National Grid USA (National Grid plc)","UK/National Grid plc","$113400","$81900","$31500"
