"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Seven & I Holdings","$9500","$2000","$7500"
"ABB Group","Switzerland/Asea Brown Boveri","$18000","$8000","$10000"
"Accenture (Accenture)","UK/Accenture plc","$347750","$189750","$158000"
"Accenture (Accenture)","UK/Accenture plc","$0","$0","$0"
"ACE INA","Switzerland/ACE Ltd","$171500","$82500","$89000"
"Acuson Corp (Siemens AG)","Germany/Siemens AG","$0","$0","$0"
"AEGON USA","Netherlands/Aegon NV","$210497","$107997","$102500"
"Agrium US","Canada/Agrium Inc","$1500","$0","$1500"
"Air Liquide America","France/L'Air Liquide SA","$11000","$8000","$3000"
"Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$58500","$28000","$30500"
"Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$8500","$4000","$4500"
"Alcon Laboratories (Nestle SA)","Switzerland/Nestle","$28496","$1000","$27496"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$80050","$28600","$51450"
"American Medical Response (Onex Corp)","Canada/Onex Corp","$21050","$18250","$2800"
"Anheuser-Busch","Belgium/Anheuser-Busch InBev","$1505897","$853223","$652674"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$42500","$28500","$14000"
"Arcadis US","Netherlands/Arcadis NV","$72250","$42250","$30000"
"ArcelorMittal USA","Luxembourg/ArcelorMittal","$54500","$29000","$25500"
"Arch Capital Group (US)","UK/Arch Capital Group","$13200","$10900","$2300"
"AREVA Inc","France/Areva Group","$95000","$45500","$49500"
"Arkema Inc","France/Arkema","$26500","$10500","$16000"
"Armor Holdings (BAE Systems)","UK/BAE Systems","$25426","$6600","$18826"
"Astellas US","Japan/Astellas Pharma","$0","$0","$0"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$544500","$260500","$284000"
"Aviva USA","UK/Aviva PLC","$500","$0","$500"
"AXA Equitable Life Insurance (AXA)","France/AXA","$216000","$137000","$79000"
"AXIS Specialty US Services (AXIS Capital)","UK/AXIS Captial","$0","$0","$0"
"Babcock & Wilcox (McDermott International)","Panama/McDermott International","$1000","$1000","$0"
"Babcock & Wilcox (McDermott International)","Panama/McDermott International","$244000","$129000","$115000"
"Bacardi USA","UK/Bacardi Ltd","$18000","$7500","$10500"
"BAE Systems (BAE Systems)","UK/BAE Systems","$712250","$313500","$398750"
"Ballard Power Systems","Canada/Ballard Power Systems","$1700","$1700","$0"
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$3300","$3300","$0"
"Barclays Group US","UK/Barclays plc","$100000","$53000","$47000"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$63800","$29500","$34300"
"BASF Corp","Germany/BASF SE","$307000","$109000","$198000"
"Bayer Corp","Germany/Bayer AG","$271500","$118000","$153500"
"BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$125500","$9500","$116000"
"BMO Harris Bank","Canada/Bank of Montreal","$0","$0","$0"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$87800","$33000","$54800"
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$4500","$3000","$1500"
"BP","UK/BP PLC","$198500","$81500","$117000"
"Bridgestone Americas","Japan/Bridgestone Corp","$113000","$56000","$57000"
"Burson-Marsteller (WPP Group)","UK/WPP Group","$58500","$35500","$21500"
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$23250","$4250","$19000"
"CalPortland Co","Japan/Taiheiyo Cement Co","$204500","$53000","$151500"
"CaridianBCT","Sweden/Gambro AB","$1000","$1000","$0"
"Case New Holland","Italy/Fiat SPA","$60000","$15000","$45000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$178100","$68600","$109500"
"CGI Technologies & Solutions","Canada/CGI Group","$21000","$14000","$7000"
"Ciba Inc","Switzerland/Ciba Specialty Chemicals Holding","$14900","$5000","$9900"
"Citizens Financial Group","UK/Royal Bank of Scotland Group","$155900","$129650","$26250"
"Cobham Management Services","UK/Cobham PLC","$0","$0","$0"
"Commerce Bancorp","Canada/Toronto-Dominion Bank","$35000","$25000","$10000"
"Cooper Industries","Ireland/Cooper Industries Ltd","$156700","$77000","$79700"
"Covidien US","UK/Covidien Ltd","$111500","$45000","$66500"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$517000","$274500","$242500"
"CSL Behring","Australia/CSL Ltd","$16750","$5500","$11250"
"Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$33900","$14600","$19300"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$7400","$7400","$0"
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$15000","$7000","$8000"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$103500","$69500","$34000"
"DRS Technologies","Italy/Finmeccanica SpA","$304900","$123500","$181400"
"E ON US","Germany/Eon AG","$21000","$6000","$15000"
"EADS North America","Netherlands/European Aeronautic Defence & Space Co","$149700","$66600","$83100"
"Eisai Inc","Japan/Eisai Co Ltd","$8500","$2500","$6000"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$7500","$4000","$3500"
"EmCare Inc (Onex Corp)","Canada/Onex Corp","$0","$0","$0"
"EMD Serono Inc","Germany/Merck KGaA","$62500","$35000","$27500"
"EnCana Oil & Gas USA","Canada/EnCana Corp","$0","$0","$0"
"Essroc Corp","Italy/Italcementi Group","$9500","$4500","$5000"
"Experian","UK/Experian","$384781","$139000","$245781"
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$161400","$45000","$116400"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$1000","$1000","$0"
"Food Lion","Belgium/Delhaize Group","$54250","$24000","$30250"
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$2500","$0","$2500"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$92400","$68700","$23700"
"Gateway Inc","Taiwan/Acer Inc","$0","$0","$0"
