"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Ito-Yokado","$8500","$1500","$7000"
"ABB Group","Switzerland/Asea Brown Boveri","$46000","$17000","$28500"
"Accenture","UK/Accenture plc","$75984","$23000","$52984"
"ACE INA","UK/ACE Group","$38500","$12500","$26000"
"Acuson Corp (Siemens AG)","Germany/Siemens AG","$2000","$2000","$0"
"Adtranz (DaimlerChrysler)","Germany/DaimlerChrysler AG","$10500","$10000","$500"
"AE Staley Manufacturing (Tate & Lyle)","UK/Tate & Lyle","$24000","$10000","$14000"
"AEGON USA (AEGON NV)","Netherlands/Aegon NV","$58250","$10500","$47750"
"AIM Management Group","UK/AMVESCAP","$25000","$10000","$15000"
"Air Liquide America","France/L'Air Liquide SA","$0","$0","$0"
"Alcatel USA","France/Alcatel","$21000","$6000","$15000"
"Aliant Communications","Canada/BCE","$2000","$1000","$1000"
"Allfirst Financial","Ireland/Allied Irish Banks","$11900","$6950","$4950"
"Allied Domecq Spirits & Wine","UK/Allied Domecq","$41800","$6200","$35600"
"AMP Inc (Tyco International)","Ireland/Tyco International","$17750","$1250","$16500"
"Anglogold Ltd","UK/Anglo American PLC","$14000","$4000","$10000"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$20200","$5450","$14750"
"Aqua-Chem Inc","France/Lyonnaise des Eaux-Dumez Group","$1639","$0","$1639"
"ASARCO LLC","Mexico/Nueva Grupo Mexico","$20735","$2000","$18735"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$131155","$28250","$102905"
"Atlantic Richfield (BP)","UK/BP PLC","$106454","$30979","$75475"
"ATOFINA Chemicals (TotalFinaElf)","France/TOTAL FINA ELF","$25650","$5650","$20000"
"ATOFINA Petrochemicals (TotalFinaElf)","France/TotalFinaElf","$25000","$9250","$15750"
"Aventis CropScience (Aventis)","France/Aventis","$23500","$12500","$11000"
"Aventis Pasteur USA (Aventis)","France/Aventis","$107500","$54500","$53000"
"Aventis Pharmaceuticals (Aventis)","France/Aventis","$18000","$1500","$16500"
"Aventis Pharmaceuticals Products (Aventis)","France/Aventis","$48700","$7500","$41200"
"Bacardi USA (Bacardi Ltd)","UK/Bacardi Ltd","$500","$0","$500"
"Bacardi USA (Bacardi Ltd)","UK/Bacardi Ltd","$0","$0","$0"
"BAE Systems North America (BAE Systems)","UK/BAE Systems","$243639","$98580","$145059"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$73250","$20075","$53175"
"BASF Corp","Germany/BASF Group","$219250","$31500","$185750"
"Bayer Corp","Germany/Bayer AG","$245500","$57500","$188000"
"Bear Creek Corp (Yamanouchi Consumer)","Japan/Yamanouchi Consumer","$4500","$1500","$3000"
"BHP Holdings","Australia/Broken Hill Proprietary","$4250","$1500","$2750"
"Bird-Johnson Co (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$6500","$4000","$2500"
"Blue Circle America","UK/Blue Circle Industries","$31500","$5000","$26500"
"BOC Group","UK/BOC Group","$0","$0","$0"
"BP (BP)","UK/BP PLC","-$3000","-$3000","$0"
"BP (BP)","UK/BP PLC","$204000","$56500","$147500"
"Brinson Partners","Switzerland/UBS AG","$0","$0","$0"
"Brown & Williamson Tobacco","UK/British American Tobacco","$363550","$116500","$243050"
"Budd Co","Germany/ThyssenKrupp AG","$14000","$1000","$13000"
"Burns International Services (Securitas AB)","Sweden/Securitas AB","$500","$0","$500"
